peso1,bruto1,peso2,bruto2
,8267874,,8264940
,8267838,,8264546
,8267893,,8264972
,8267892,,8264801
,8267794,,8264984
,8267661,,8265039
-0.0017758848647800702,8267555,-0.05132627225862022,8265223
-0.0016516460059271436,8267804,-0.0559608547941021,8265203
-0.0016516460059271436,8267811,-0.06260145066583733,8265080
-0.0016516460059271436,8267841,-0.06730520607498312,8265107
-0.0017137654353536068,8267931,-0.07581346953564388,8265255
-0.0018489665464582624,8268014,-0.0838375228806573,8265314
-0.0022874566365274156,8268037,-0.07581346953564388,8264740
-0.002919613183043778,8268033,-0.06730520607498312,8263596
-0.0032923297596025585,8268087,-0.043786429029254184,7713672
-0.003295983843686468,8268015,0.060733783076911796,7694382
-0.003295983843686468,8267971,38.179690927299724,7690847
-0.003295983843686468,8267971,77.52674327055158,7694774
-0.0030694306304840722,8267942,78.86108800352838,7693978
-0.0029086509307920494,8267936,78.91614961096485,7693971
-0.0028026824923586707,8267761,78.91614961096485,7694705
-0.0026747895494218343,8267613,78.90342180221069,7694566
-0.002013400330234195,8267568,78.85479327202495,7694681
-0.000833131171131391,8267409,78.85479327202495,7694740
-0.00012789294293683633,8267503,78.85479327202495,7694393
3.6540840839096103e-06,8267577,78.84517824258567,7694741
3.6540840839096103e-06,8267717,78.84275719200744,7694919
3.6540840839096103e-06,8267798,78.8386068195876,7694949
-0.0003325216516357745,8267660,78.8386068195876,7694599
-0.0008112066666279333,8267708,78.84836019477422,7694402
-0.0008258230029635717,8267664,78.84836019477422,7694217
-0.0008258230029635717,8267566,78.87180979894629,7694331
-0.0006504269669359105,8267394,78.87969550654397,7694485
-0.00029232672671276877,8267278,78.88177069275389,7694455
0.0006796596396071874,8267111,78.88177069275389,7694649
0.0017320358557731549,8267034,78.87602934423978,7694583
0.0027661416515195746,8267057,78.8671752164108,7694601
0.003573694234063598,8266877,78.85915116306579,7695195
0.003855058708524638,8266912,78.85915116306579,7693813
0.0043849009006915315,8266912,78.85915116306579,7693898
0.004830699158928504,8266819,78.85915116306579,7695364
0.00495859210186534,8266700,78.90653458152556,7689478
0.005298421921668934,8266513,78.96104280597271,7692784
0.005945194804520935,8266410,79.03810138723432,7690007
0.007063344534197276,8266154,79.095999082491,7692976
0.008123028918531061,8266016,79.16295842419767,7692008
0.009434845104654612,8265978,79.20383959253303,7692193
0.010874554233714999,8265995,79.15016144256984,7693168
0.011455553603056626,8265901,79.20383959253303,7690821
0.011594408798245193,8265826,79.13688025082638,7700691
0.011937892702132694,8265750,79.20383959253303,7680766
0.012493313482886955,8265630,79.1235990590829,7697621
0.013045080179557307,8265487,79.2185042417498,7683189
0.01376128066000359,8265300,79.90878034804194,7682350
0.014722304774071816,8265133,80.35515290179514,7684368
0.01592815252176199,8265089,80.35515290179514,7693302
0.01722169828746599,8264972,80.35515290179514,7680215
0.017992710029170918,8264871,80.35515290179514,7690431
0.018581017566680364,8264758,80.19923724455668,7685443
0.01937760789697266,8264717,80.19923724455668,7681913
0.020159581890929316,8264748,79.77984211153242,7715019
0.020609034233250195,8234372,79.77984211153242,7763694
0.020758851680690492,8181491,77.73398520004865,7761710
0.1317553098135288,8154840,73.22917097556027,7755555
0.3856081852068133,8195246,69.9994203313187,7764899
0.5282124706654697,8195346,69.43642231256814,7769254
0.5282124706654697,8195377,69.21583001845394,7766878
0.5284792188035952,8195273,69.06095195432044,7765933
0.5283220931879871,8195289,68.92405883733957,7767477
0.5283220931879871,8195083,68.8749460970382,7766643
0.5283220931879871,8194944,68.8172559204025,7768437
0.5290748345092724,8194803,68.8172559204025,7770703
0.5302770281728786,8194680,68.70941541036046,7770156
0.5313001717163732,8194581,68.52410128181485,7771709
0.5322648499145255,8194482,68.36735555009244,7770970
0.5330760565811534,8194292,68.32052551462198,7770833
0.5337995652297676,8194086,68.3020563573537,7771868
0.5348555955300174,8193915,68.28877516561023,7771025
0.5363026128272457,8193628,68.28877516561023,7770523
0.5376802025268795,8193675,68.3020563573537,7770557
0.5391820310853663,8193540,68.33062475417691,7768777
0.5402307532174484,8193487,68.35206834501271,7767918
0.5406619351393498,8193557,68.47519606013446,7768655
0.5406619351393498,8193701,68.60441098813865,7768242
0.540490193187406,8193752,68.64141847554885,7767590
0.5403951870012244,8193790,68.69239888343915,7765608
0.5396826406048619,8193761,68.73749959706802,7766170
0.5396351375117712,8193714,68.8565461126436,7766197
0.5396351375117712,8193666,68.95477159324635,7765346
0.5396351375117712,8193537,68.95477159324635,7766659
0.5399493887429874,8193510,68.97932796339704,7765842
0.5405961616258395,8193408,68.97932796339704,7759933
0.5411661987429293,8193444,69.0363264112961,7758460
0.5414329468810547,8193464,69.38730957226677,7760768
0.5416156510852501,8193460,69.6224281698504,7761947
0.5416887327669284,8193387,69.63889131378241,7761709
0.5416887327669284,8193509,69.63889131378241,7762848
0.5416156510852501,8193532,69.58756504152379,7761510
0.5414366009651386,8193573,69.55733649573266,7762962
0.5411881232474327,8193588,69.47854859262947,7763134
0.5409542618660625,8193637,69.43116517416969,7762632
0.5407496331573636,8193671,69.43116517416969,7762451
0.5405157717759934,8193727,69.42327946657201,7763012
0.5402124827970288,8193723,69.40460279068276,7762902
0.5398982315658126,8193828,69.40114414699956,7763571
0.5396936028571138,8193854,69.42742983899184,7762479
0.5393099240283032,8193976,69.40114414699956,7763215
0.5388458553496467,8193963,69.39139077181295,7763043
0.5383525539983189,8194040,69.39152911756027,7763010
0.5379067557400818,8194066,69.37734867845917,7763371
0.5376253912656208,8194151,69.37734867845917,7763774
0.537296523698069,8194156,69.3546599758974,7763691
0.537296523698069,8145936,69.32173368803339,7763977
0.537296523698069,8123849,69.32173368803339,7763183
0.536890920364755,8263277,69.32173368803339,7762545
0.5365620527972031,8263682,69.3347381882822,7762737
0.2839698364128675,8263671,69.36192312763211,7763298
0.02995618131989098,8263690,69.37333665178667,7763133
0.028680905974606527,8263626,69.40190504860985,7762770
0.028680905974606527,8256453,69.40190504860985,7763361
0.028680905974606527,8113663,69.36538177131531,7763850
0.055056084892266086,8010379,69.34961035611994,7763779
0.23747161644511772,8213705,69.32982691425207,7763584
0.36251071971242066,8222234,69.30091265306055,7764064
0.36266784532802876,8222191,69.28251266866594,7763940
0.3627190025052035,8222177,69.28251266866594,7762687
0.331772564398573,8222174,69.28804649855905,7763770
0.331772564398573,8222088,69.27690966589917,7766014
0.3317652562304052,8222176,69.25657284104199,7764310
0.3317762184826569,8222139,69.27690966589917,7763370
0.3317762184826569,8222246,69.26286757254539,7764143
0.3317762184826569,8222216,69.23339992836458,7764196
0.3316227469511327,8222301,69.23339992836458,7762435
0.33136696106525904,8222319,69.29053672201096,7759765
0.33105636391812676,8222423,69.31025099100518,7763858
0.3307896157800013,8222467,69.37492762788094,7691466
0.33034381752176434,8222423,69.6580521997873,7734749
0.3300953398040585,8222387,71.57317238004629,7716258
0.3300953398040585,8222282,74.2377806464537,7721244
0.3300953398040585,8116227,75.51685625337305,7707982
0.3306105656598898,8011046,76.4342269039038,7700283
0.7185281320077339,7950672,76.4342269039038,7705525
1.4904022375564643,7981040,77.17665935693853,7704089
1.947838753600689,7991042,77.43425913846292,7704258
2.057483200622481,7958424,77.5335913850443,7703633
2.176672115271444,7928117,77.57682443108425,7703050
2.2876393407316113,7925414,77.56845451337091,7703754
2.176672115271444,8264013,77.58906802972275,7703791
2.14012396626418,8263892,77.58906802972275,7704069
1.143600425320771,8263757,77.58906802972275,7705164
0.02805240351217407,8263712,77.56727857451862,7704132
0.02805240351217407,8263673,77.56727857451862,7701383
0.027931818737405054,8263745,77.54369062459924,7714773
0.02809625252118099,8263653,77.46794632793726,7735731
0.02835934657522248,8263476,76.7318777792796,7737033
0.028574937536173146,8263333,74.6174705499949,7736805
